Artist,Track,Peak Position,Year,Peak Date
Dionne Farris,I Know,4,1995,5/6/95
Martin Page,In the House of Stone and Light,14,1995,5/13/95
Rednex,Cotton Eye Joe,25,1995,5/13/95
Raphael Saadiq,Ask of You,19,1995,5/20/95
Kut Klose,I Like,34,1995,6/17/95
Nicki French,Total Eclipse of the Heart,2,1995,6/24/95
Better Than Ezra,Good,30,1995,7/8/95
MoKenStef,He's Mine,7,1995,8/26/95
L.V.,Gangsta's Paradise,1,1995,9/9/95
Skee-Lo,I Wish,13,1995,9/9/95
Luniz,I Got 5 on It,8,1995,9/23/95
AZ,Sugar Hill,25,1995,9/30/95
Silverchair,Tomorrow,28A,1995,9/30/95
Raekwon,Ice Cream,37,1995,10/28/95
Groove Theory,Tell Me,5,1995,11/4/95
Take That,Back for Good,7,1995,11/11/95
Edwyn Collins,A Girl Like You,32,1995,11/11/95
Goodie Mob,Cell Therapy,39,1995,11/18/95
Toadies,Possum Kingdom,40A,1995,11/18/95
Deep Blue Something,Breakfast at Tiffany's,5,1996,1/20/96
Planet Soul,Set U Free,26,1996,1/27/96
Joan Osborne,One of Us,4,1996,2/3/96
The Folk Implosion,Natural One,29,1996,2/3/96
Everything but the Girl,Missing,2,1996,2/17/96
3T,Anything,15,1996,3/2/96
Seven Mary Three,Cumbersome,39,1996,3/2/96
Adam Sandler,The Chanukah Song,10A,1996,3/16/96
The Tony Rich Project,Nobody Knows,2,1996,3/23/96
Lina Santiago,Feels So Good (Show Me Your Love),35,1996,4/6/96
Chantay Savage,I Will Survive,24,1996,4/20/96
Nonchalant,5 O'Clock,24,1996,4/27/96
Spacehog,In the Meantime,32,1996,4/27/96
BoDeans,Closer to Free,16,1996,5/4/96
The Lost Boyz,Renee,33,1996,5/4/96
Tina Arena,Chains,38,1996,5/4/96
Jann Arden,Insensitive,12,1996,6/1/96
Dog's Eye View,Everything Falls Apart,14AB,1996,6/1/96
Jars of Clay,Flood,37,1996,6/8/96
Tracy Bonham,Mother Mother,32A,1996,6/15/96
"Adam Clayton and Larry Mullen, Jr.",Theme from Mission: Impossible,7,1996,6/22/96
Delinquent Habits,Tres Delinquentes,35,1996,6/29/96
Crucial Conflict,Hay,18,1996,7/13/96
Robert Miles,Children,21,1996,7/13/96
Slick Rick,I Like,28,1996,7/13/96
Butthole Surfers,Pepper,26A,1996,7/27/96
Dishwalla,Counting Blue Cars,15,1996,8/17/96
Donna Lewis,I Love You Always Forever,2,1996,8/24/96
Primitive Radio Gods,Standing Outside a Broken Phone Booth with Money in My Hand,10A,1996,9/14/96
Ghost Town DJ's,My Boo,31,1996,10/12/96
Do or Die,Po Pimp,22,1996,10/19/96
Sublime,What I Got,29A,1996,10/26/96
Eels,Novocaine for the Soul,39A,1996,11/2/96
Jeffrey Daniel and Howard Hewett,This Is for the Lover in You,6,1996,11/9/96
Merril Bainbridge,Mouth,4,1996,11/23/96
Cake,The Distance,35A,1996,11/23/96
Athena Cage,Nobody,3,1996,12/7/96
DC Talk,Just Between You and Me,29,1996,12/7/96
Amber,This Is Your Night,24,1997,1/25/97
Gina G,Ooh Aah... Just a Little Bit,12,1997,2/1/97
Tha Dogg Pound,Nothin' But the Cavi Hit,38,1997,2/1/97
The Blackout All-Stars,I Like It,25,1997,2/15/97
Ed and Smooth,Watch Me Do My Thing,32,1997,2/15/97
The Cardigans,Lovefool,2A,1997,3/1/97
The Prodigy,Firestarter,30,1997,3/22/97
DJ Kool,Let Me Clear My Throat,30,1997,3/29/97
Luscious Jackson,Naked Eye,36,1997,3/29/97
B-Rock and the Bizz,My Baby Daddy,10,1997,5/3/97
White Town,Your Woman,23,1997,5/3/97
Duncan Sheik,Barely Breathing,16,1997,5/10/97
Freak Nasty,Da' Dip,15,1997,5/17/97
Kenny Lattimore,For You,33,1997,5/31/97
Mark Morrison,Return of the Mack,2,1997,6/7/97
The Verve Pipe,The Freshmen,5,1997,6/7/97
Bob Carlisle,Butterfly Kisses,10A,1997,6/21/97
Le Click,Call Me,35,1997,6/21/97
Raybon Brothers,Butterfly Kisses,22,1997,6/28/97
Meredith Brooks,Bitch,2,1997,7/12/97
OMC,How Bizarre,4A,1997,7/26/97
Shawn Colvin,Sunny Came Home,7,1997,7/26/97
Trisha Yearwood,How Do I Live,23,1997,7/26/97
ESPN,ESPN Presents the Jock Jam,31,1997,8/9/97
Rampage,Take It to the Streets,34,1997,8/16/97
Sister Hazel,All for You,11,1997,8/30/97
Mr. President,Coco Jamboo,21,1997,9/6/97
"Pimp C, Mercedes and O'Dell",I Miss My Homies,25,1997,9/13/97
Peach Union,On My Own,39,1997,10/11/97
Refugee Camp All-Stars,Avenues,35,1997,10/18/97
Milestone,I Care 'Bout You,23,1997,10/18/97
The Mighty Mighty Bosstones,The Impression That I Get,23A,1997,10/25/97
Imani Coppola,Legend Of A Cowgirl,36,1997,10/25/97
Somethin' for the People,My Love Is the Shhh!,4,1997,11/29/97
Chumbawamba,Tubthumping,6,1997,11/29/97
Fiona Apple,Criminal,21,1997,11/29/97
LSG,My Body,4,1997,12/6/97
Tonic,If You Could Only See,11A,1997,12/6/97
She Moves,Breaking All The Rules,32,1997,12/13/97
Nu Flavor,Heaven,27,1998,1/31/98
Alana Davis,32 Flavors,37,1998,1/31/98
Uncle Sam,I Don't Ever Want to See You Again,6,1998,2/7/98
Billie Myers,Kiss the Rain,15,1998,2/21/98
Queen Pen,All My Love,28,1998,2/21/98
Ol' Skool,Am I Dreaming,31,1998,2/21/98
Ben Folds Five,Brick,19A,1998,2/28/98
K.P. & Envyi,Swing My Way,6,1998,3/14/98
Jimmy Ray,Are You Jimmy Ray?,13,1998,3/14/98
Loreena McKennitt,The Mummers' Dance,18,1998,3/21/98
Lord Tariq and Peter Gunz,Deja Vu (Uptown Baby),9,1998,3/28/98
The Verve,Bitter Sweet Symphony,12,1998,4/4/98
Sylk-E. Fyne,Romeo and Juliet,6,1998,4/18/98
Marcy Playground,Sex and Candy,8,1998,4/18/98
Canibus,Second Round K.O.,28,1998,5/2/98
Natalie Imbruglia,Torn,1A,1998,5/16/98
Fiend,Make 'Em Say Uhh!,16,1998,5/16/98
Sparkle,Be Careful,32A,1998,5/30/98
Playa,Cheers 2 U,38,1998,6/6/98
Link,Whatcha Gone Do?,23,1998,7/4/98
Imajin,Shorty (You Keep Playin' with My Mind),25,1998,7/11/98
Jimmy Page,Come with Me,4,1998,7/25/98
Nicole,Make It Hot,5,1998,8/1/98
Five,When the Lights Go Out,10,1998,8/1/98
Cleopatra,Cleopatra's Theme,26,1998,8/1/98
Semisonic,Closing Time,11A,1998,8/8/98
Big Punisher,Still Not a Player,24,1998,8/15/98
Harvey Danger,Flagpole Sitta,38A,1998,8/22/98
Jennifer Paige,Crush,3,1998,9/5/98
Tatyana Ali,Daydreamin',6,1998,9/12/98
Pressha,Splackavellie,27,1998,9/19/98
The Brian Setzer Orchestra,"Jump, Jive an' Wail",23AC,1998,10/17/98
TQ,Westside,12,1998,10/24/98
Everything,Hooch,34AD,1998,11/7/98
Ty Herndon,It Must Be Love,38,1998,12/5/98
Mo Thugs Family,Ghetto Cowboy,15,1999,1/9/99
Shawn Mullins,Lullaby,7,1999,1/16/99
Amil,Can I Get A...,19,1999,1/16/99
Eagle-Eye Cherry,Save Tonight,5,1999,1/23/99
Blinky Blink,Take Me There,14,1999,1/23/99
New Radicals,You Get What You Give,36,1999,1/30/99
Mark Chesnutt,I Don't Want to Miss a Thing,17,1999,2/13/99
Jesse Powell,You,10,1999,3/6/99
Joey McIntyre,Stay the Same,10,1999,4/10/99
B*Witched,C'est la Vie,9,1999,4/17/99
Baz Luhrmann,Everybody's Free (To Wear Sunscreen),24AE,1999,4/17/99
Vengaboys,We Like to Party,26,1999,4/17/99
Jordan Knight,Give It to You,10,1999,5/15/99
Everlast,What It's Like,13,1999,5/15/99
Fatboy Slim,Praise You,36,1999,5/22/99
Steve Wariner,Two Teardrops,30,1999,6/5/99
Dave Hollister,My Favorite Girl,39,1999,6/5/99
Chanté Moore,Chanté's Got a Man,10,1999,6/12/99
Sporty Thievz,No Pigeons,12,1999,7/3/99
Kool Moe Dee,Wild Wild West,1,1999,7/24/99
Joe Diffie,A Night to Remember,38,1999,8/7/99
Eric Benét,Spend My Life with You,21,1999,8/21/99
Citizen King,Better Days (And the Bottom Drops Out),25,1999,8/21/99
Tal Bachman,She's So High,14,1999,8/28/99
Chely Wright,Single White Female,36,1999,8/28/99
Garth Brooks as Chris Gaines,Lost in You,5,1999,9/11/99
Nokio,What Ya Want,29,1999,9/11/99
B.G.,Bling Bling,36,1999,11/13/99
Lou Bega,Mambo No. 5 (A Little Bit Of...),3,1999,11/13/99
Len,Steal My Sunshine,9,1999,11/13/99
Ideal,Get Gone,36,1999,11/20/99
Clint Black and Lisa Hartman Black,When I Said I Do,31,1999,12/11/99
Kevon Edmonds,24/7,10,1999,12/18/99
Marc Nelson,15 Minutes,27,1999,12/18/99
Guy,Dancin',19,2000,1/1/00
M2M,Don't Say You Love Me,21,2000,1/8/00
Make It Hot,Got to Get It,40,2000,1/22/00
Eiffel 65,Blue (Da Ba Dee),6,2000,1/29/00
Filter,Take a Picture,12,2000,2/5/00
Blink-182,All the Small Things,6,2000,2/19/00
J-Shin,One Night Stand,34,2000,2/26/00
The Product G&B,Maria Maria,1,2000,4/8/00
Hoku,Another Dumb Blonde,27,2000,4/8/00
Tracy Lawrence,Lessons Learned,40,2000,4/8/00
Sonique,It Feels So Good,8,2000,4/22/00
504 Boyz,Wobble Wobble,17,2000,5/6/00
Alison Krauss and Billy Dean,Buy Me a Rose,40,2000,5/6/00
Carl Thomas,I Wish,20,2000,5/13/00
Mary Mary,Shackles (Praise You),28,2000,5/13/00
Macy Gray,I Try,5,2000,5/20/00
Alice DeeJay,Better Off Alone,27,2000,6/3/00
Westlife,Swear It Again,20,2000,7/1/00
UGK,Big Pimpin',18,2000,7/8/00
Nine Days,Absolutely (Story of a Girl),6,2000,7/22/00
BBMak,Back Here,13,2000,7/29/00
Lucy Pearl,Dance Tonight,36,2000,7/29/00
Mandy Moore,I Wanna Be with You,24,2000,8/12/00
Lara Fabian,I Will Love Again,32,2000,8/12/00
Son by Four,Purest of Pain (A Puro Dolor),26,2000,8/19/00
Cheb Mami,Desert Rose,17,2000,8/26/00
Ruff Endz,No More,5,2000,9/2/00
Billy Gilman,One Voice,38,2000,9/2/00
soulDecision,Faded,22,2000,9/9/00
Aaron Carter,Aaron's Party (Come Get It),35,2000,9/16/00
Baha Men,Who Let the Dogs Out?,40,2000,10/21/00
Profyle,Liar,14,2000,10/28/00
Samantha Mumba,Gotta Tell You,4,2000,12/9/00
Debelah Morgan,Dance with Me,8,2001,1/6/01
Mikaila,So in Love with Two,25,2001,1/6/01
Fuel,Hemorrhage (In My Hands),30,2001,1/20/01
"Ricardo ""RikRok"" Ducent",It Wasn't Me,1,2001,2/3/01
Evan and Jaron,Crazy for This Girl,15,2001,3/3/01
Crazy Town,Butterfly,1,2001,3/24/01
Eden's Crush,Get Over Yourself,8,2001,3/31/01
ATC,Around the World (La La La La La),28,2001,3/31/01
3LW,No More (Baby I'ma Do Right),23,2001,4/7/01
Jessica Andrews,Who I Am,28,2001,4/7/01
The Corrs,Breathless,34,2001,4/7/01
QB's Finest,Oochie Wally,26,2001,4/21/01
S Club 7,Never Had a Dream Come True,10,2001,5/12/01
Sunshine Anderson,Heard It All Before,18,2001,5/12/01
Tank,Maybe I Deserve,38,2001,5/12/01
Moby,South Side,14,2001,5/26/01
City Spud,Ride wit Me,3,2001,6/23/01
Lil' Romeo,My Baby,3,2001,6/30/01
Blu Cantrell,Hit 'Em Up Style (Oops!),2,2001,7/21/01
Jimmy Cozier,She's All I Got,26,2001,7/21/01
Incubus,Drive,9,2001,7/28/01
Willa Ford,I Wanna Be Bad,22,2001,8/4/01
The Wiseguys,Start the Commotion,31,2001,8/25/01
Afroman,Because I Got High,13,2001,9/8/01
Black Rob and Mark Curry,Bad Boy for Life,33,2001,9/8/01
Cyndi Thomson,What I Really Meant to Say,26,2001,9/22/01
Lee Greenwood,God Bless the USA,16,2001,9/29/01
Artists Against AIDS Worldwide,What's Going On,27,2001,10/13/01
Alien Ant Farm,Smooth Criminal,23,2001,11/10/01
Aaron Tippin,Where the Stars and Stripes and the Eagle Fly,20,2001,12/29/01
Joi,The Whole World,19,2002,2/23/02
Bounty Killer,Hey Baby,6,2002,3/2/02
The Calling,Wherever You Will Go,5,2002,3/16/02
Glenn Lewis,Don't You Forget It,30,2002,3/16/02
P.O.D.,Youth of the Nation,28,2002,4/6/02
Chris Cagle,"I Breathe In, I Breathe Out",35,2002,4/13/02
Tommy Shane Steiner,What If She's an Angel,39,2002,5/4/02
Steve Azar,I Don't Have to Be Me ('til Monday),35,2002,5/25/02
Truth Hurts,Addictive,9,2002,6/8/02
Default,Wasting My Time,13,2002,6/8/02
Jimmy Eat World,The Middle,5,2002,6/22/02
Dirty Vegas,Days Go By,14,2002,6/29/02
Josey Scott,Hero,3,2002,7/13/02
Big Tymers,Still Fly,11,2002,7/20/02
Irv Gotti presents The Inc.,Down 4 U,6,2002,8/3/02
DJ Sammy and Yanou,Heaven,8,2002,8/10/02
Claudette Ortiz,Two Wrongs,28,2002,8/31/02
Tracy Byrd,Ten Rounds with Jose Cuervo,26,2002,9/21/02
Sacario,If I Could Go!,30,2002,9/28/02
Infamous 2.0,Move Bitch,10,2002,10/5/02
Common,Love of My Life (An Ode to Hip-Hop),9,2002,10/26/02
Nappy Roots,Po' Folks,21,2002,11/9/02
Brian Casey and Brandon Casey,Don't Mess with My Man,8,2002,12/21/02
Tha' Rayne,Fabulous,28,2003,1/18/03
Lasgo,Something,35,2003,2/1/03
Aaron Lines,You Can't Hide Beautiful,38,2003,2/15/03
Smilez and Southstar,Tell Me,28,2003,3/8/03
J.C. Chasez,Blowin' Me Up (With Her Love),35,2003,3/8/03
t.A.T.u.,All the Things She Said,20,2003,3/15/03
Norah Jones,Don't Know Why,30,2003,3/15/03
Vivian Green,Emotional Rollercoaster,39,2003,3/29/03
Charlie Wilson,Beautiful,6,2003,4/26/03
Amanda Perez,Angel,20,2003,5/3/03
Allison Moorer,Picture,4,2003,5/10/03
Big Tigger,Snake,16,2003,5/17/03
Panjabi MC,Beware of the Boys (Mundian To Bach Ke),33,2003,5/17/03
Flipmode Squad,I Know What You Want,3,2003,5/31/03
Mike Shorey,Can't Let You Go,4,2003,5/31/03
Wayne Wonder,No Letting Go,11,2003,5/31/03
Floetry,Say Yes,24,2003,6/14/03
Bone Crusher,Never Scared,26,2003,6/21/03
Korn,Did My Time,38,2003,8/9/03
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",3,2003,8/16/03
Thalía,I Want You,22,2003,8/23/03
The Ataris,The Boys of Summer,20,2003,9/20/03
Alex Band,Why Don't You and I,8,2003,10/25/03
Marques Houston,Clubbin',39,2003,11/1/03
Trapt,Headstrong,16,2003,11/15/03
Fountains of Wayne,Stacy's Mom,21,2003,11/15/03
Pat Green,Wave on Wave,39,2003,11/29/03
Stacie Orrico,(There's Gotta Be) More to Life,30,2003,12/13/03
Liz Phair,Why Can't I?,32,2003,12/20/03
Nick Cannon,Gigolo,24,2004,1/10/04
Eamon,Fuck It (I Don't Want You Back),16,2004,2/21/04
J. Weav,One Call Away,2,2004,3/13/04
Sasha,I'm Still in Love with You,14,2004,4/17/04
Syleena Johnson,All Falls Down,7,2004,5/22/04
Ms. Thing,Dude,26,2004,6/12/04
Hoobastank,The Reason,2,2004,6/19/04
Yellowcard,Ocean Avenue,37,2004,6/26/04
Mis-Teeq,Scandalous,35,2004,7/10/04
Diana DeGarmo,Dreams,14,2004,7/17/04
Soulja Slim,Slow Motion,1,2004,8/7/04
Jabba,Move Ya Body,4,2004,8/7/04
Kevin Lyttle,Turn Me On,4,2004,8/14/04
Houston,I Like That,11,2004,8/14/04
Terror Squad,Lean Back,1,2004,8/21/04
Los Lonely Boys,Heaven,16,2004,8/21/04
Gem Star and Big Mato,Oye Mi Canto,12,2004,9/25/04
Lea,Sunshine,2,2004,10/23/04
Bowling for Soup,1985,23,2004,11/13/04
Rupee,Tempted to Touch,39,2004,11/20/04
Seether,Broken,20,2004,12/18/04
Various artists,Across the Universe,22,2005,3/5/05
Josh Gracin,Nothin' to Lose,39,2005,3/19/05
Trillville,Some Cut,14,2005,3/26/05
Joss Stone,Cry Baby/Piece of My Heart,32,2005,4/2/05
Brooke Valentine,Girlfight,23,2005,5/4/05
Jung Tru and King Jacob,Errtime,24,2005,6/4/05
System of a Down,B.Y.O.B.,27,2005,6/4/05
Howie Day,Collide,20,2005,6/18/05
Bo Bice,Inside Your Heaven,2,2005,7/9/05
Natalie,Goin' Crazy,13,2005,7/16/05
Papa Roach,Scars,15,2005,8/6/05
Bun B,Give Me That,29,2005,8/6/05
Lil Rob,Summer Nights,36,2005,8/6/05
D.H.T.,Listen to Your Heart,8,2005,8/20/05
Gorillaz,Feel Good Inc.,14,2005,8/20/05
Teairra Mari,Make Her Feel Good,35,2005,8/27/05
The Click Five,Just the Girl,11,2005,9/3/05
Fatman Scoop,Lose Control,3,2005,9/17/05
Trina,Here We Go,17,2005,12/3/05
Cast of Rent,Seasons of Love,33,2005,12/17/05
Purple Ribbon All-Stars,Kryptonite (I'm on It),35,2005,12/31/05
D4L,Laffy Taffy,1,2006,1/14/06
Gipp,Grillz,1,2006,1/21/06
Ashley Tisdale and Lucas Grabeel,What I've Been Looking For,35,2006,2/11/06
James Blunt,You're Beautiful,1,2006,3/11/06
Matisyahu,King Without a Crown,28,2006,3/25/06
Lil Peanut and Charlay,"Lean wit It, Rock wit It",7,2006,4/1/06
Keak da Sneak,Tell Me When to Go,35,2006,4/1/06
Daniel Powter,Bad Day,1,2006,4/8/06
Ashley Parker Angel,Let U Go,12,2006,5/6/06
Nick Lachey,What's Left of Me,6,2006,5/13/06
Teddy Geiger,For You I Will (Confidence),29,2006,5/13/06
Saving Jane,Girl Next Door,31,2006,5/20/06
Fort Minor,Where'd You Go,4,2006,6/10/06
AFI,Miss Murder,24,2006,6/24/06
The Wreckers,Leave the Pieces,34,2006,6/24/06
Taylor Hicks,Do I Make You Proud,1,2006,7/1/06
Paris Hilton,Stars Are Blind,18,2006,7/8/06
LeToya,Torn,31,2006,7/8/06
Gnarls Barkley,Crazy,2,2006,7/22/06
Cassie,Me & U,3,2006,7/22/06
Panic! at the Disco,I Write Sins Not Tragedies,7,2006,8/26/06
Young Dro,Shoulder Lean,10,2006,8/26/06
Brooke Hogan,About Us,33,2006,8/26/06
OK Go,Here It Goes Again,38,2006,9/23/06
"Brandy ""Ms. B"" Hambrick",I Know You See It,17,2006,9/30/06
Blue October,Hate Me,31,2006,10/7/06
Snow Patrol,Chasing Cars,5,2006,10/14/06
Jibbs,Chain Hang Low,8,2006,10/21/06
LaLa Brown,S.E.X.,37,2006,10/21/06
Heartland,I Loved Her First,34,2006,10/28/06
Mario Vazquez,Gallery,35,2006,11/11/06
Cashis,You Don't Know,12,2006,12/23/06
Paula DeAnda,Walk Away (Remember Me),18,2007,1/6/07
Stone Sour,Through Glass,39,2007,1/6/07
Corbin Bleu,Push It to the Limit,14,2007,2/3/07
Hellogoodbye,Here (In Your Arms),14,2007,2/17/07
Augustana,Boston,34,2007,3/3/07
Rich Boy,Throw Some D's,6,2007,3/31/07
Baby Boy da Prince,The Way I Live,21,2007,4/7/07
The Red Jumpsuit Apparatus,Face Down,25,2007,4/7/07
Crime Mob,Rock Yo Hips,30,2007,5/12/07
The White Stripes,Icky Thump,26,2007,5/19/07
Huey,"Pop, Lock & Drop It",6,2007,6/2/07
Shop Boyz,Party Like a Rockstar,2,2007,6/9/07
Blake Lewis,You Give Love a Bad Name,18,2007,6/9/07
Big & Rich,Lost in This Moment,36,2007,6/23/07
Amy Winehouse,Rehab,9,2007,6/30/07
Down AKA Kilo,Lean like a Cholo,34,2007,6/30/07
Foxx,Wipe Me Down (Remix),38,2007,7/14/07
Hurricane Chris,A Bay Bay,7,2007,7/28/07
Aly & AJ,Potential Breakup Song,17,2007,8/4/07
Elliott Yamin,Wait for You,13,2007,8/18/07
Kat DeLuna,Whine Up,29,2007,9/22/07
Feist,1234,8,2007,10/13/07
Ingrid Michaelson,The Way I Am,37,2007,10/27/07
Gorilla Zoe,Hood Figga,38,2007,11/3/07
i15,Soulja Girl,32,2007,12/8/07
Playaz Circle,Duffle Bag Boy,15,2007,12/22/07
Niia,Sweetest Girl (Dollar Bill),9,2008,1/5/08
Yael Naïm,New Soul,7,2008,2/23/08
Buckcherry,Sorry,9,2008,3/1/08
Lil Phat,Independent,9,2008,3/8/08
Matthew Santos,Superstar,10,2008,3/22/08
Shawty Lo,Dey Know,31,2008,3/22/08
2 Pistols,She Got It,24,2008,4/19/08
Static Major,Lollipop,1,2008,5/3/08
James Otto,Just Got Started Lovin' You,27,2008,5/17/08
Duffy,Mercy,27,2008,5/31/08
"Project Pat, Young D and Superpower",Lolli Lolli (Pop That Body),18,2008,6/14/08
Metro Station,Shake It,10,2008,6/28/08
Flyleaf,All Around Me,40,2008,6/28/08
V.I.C.,Get Silly,29,2008,7/5/08
Flobots,Handlebars,37,2008,8/9/08
Shwayze,Corona and Lime,23,2008,8/16/08
Hit Masters,All Summer Long,19,2008,9/6/08
Casha,The Business,33,2008,9/6/08
Gavin Rossdale,Love Remains the Same,27,2008,9/13/08
Artists Stand Up to Cancer,Just Stand Up!,11,2008,9/20/08
Secondhand Serenade,Fall for You,21,2008,9/20/08
Estelle,American Boy,9,2008,9/27/08
The Rock Heroes,All Summer Long,29,2008,10/11/08
Jennifer Hudson,Spotlight,24,2008,10/25/08
Saving Abel,Addicted,20,2008,11/22/08
O.A.R.,Shattered (Turn the Car Around),36,2008,12/13/08
Ron Browz,Pop Champagne,22,2009,1/3/09
Chris J,Put It on Ya,31,2009,1/3/09
The Veronicas,Untouched,17,2009,2/7/09
A. R. Rahman,Jai Ho! (You Are My Destiny),15,2009,3/5/09
Maino,All the Above,39,2009,3/21/09
Asher Roth,I Love College,12,2009,4/11/09
Wynter,Sugar,5,2009,5/16/09
Shinedown,Second Chance,7,2009,6/20/09
Kristinia DeBarge,Goodbye,15,2009,6/20/09
The Ting Tings,That's Not My Name,39,2009,8/8/09
Leighton Meester,Good Girls Go Bad,7,2009,8/22/09
Disney's Friends for Change,Send It On,20,2009,8/29/09
Jessie James,Wanted,40,2009,8/29/09
Dorrough,Ice Cream Paint Job,27,2009,9/19/09
Breaking Benjamin,I Will Not Bow,40,2009,9/19/09
Muse,Uprising,37,2009,10/3/09
Michael Franti and Spearhead,Say Hey (I Love You),18,2009,10/17/09
Ester Dean,Drop It Low,38,2009,10/31/09
Bono and The Edge,Stranded (Haiti Mon Amour),16,2010,2/6/10
Matt Morris,Hallelujah,13,2010,2/13/10
Artists for Haiti,We Are the World 25 for Haiti,2,2010,2/27/10
Orianthi,According to You,17,2010,3/6/10
Spose,I'm Awesome,37,2010,4/24/10
Mr Hudson,Young Forever,10,2010,5/15/10
Michael Bublé,Haven't Met You Yet,24,2010,6/5/10
Neil Patrick Harris,Dream On,26,2010,6/5/10
La Roux,Bulletproof,8,2010,6/12/10
Lee DeWyze,Beautiful Day,24,2010,6/12/10
Freshlyground,Waka Waka (This Time for Africa),38,2010,7/3/10
Jaron and the Long Road to Love,Pray for You,34,2010,7/24/10
Chris Willis,Gettin' Over You,31,2010,8/7/10
Rivers Cuomo,Magic,10,2010,9/4/10
Cali Swag District,Teach Me How to Dougie,28,2010,9/4/10
Florence + the Machine,Dog Days Are Over,21,2010,10/2/10
The Ready Set,Love Like Woe,27,2010,11/6/10
Yolanda Be Cool and DCUP,We No Speak Americano,29,2010,11/6/10
Dizzee Rascal and El Cata,Loca,32,2010,11/6/10
Willow,Whip My Hair,11,2010,11/13/10
Bon Iver,Monster,18,2010,11/13/10
Cory Gunz,6 Foot 7 Foot,9,2011,1/1/11
Edward Maya and Vika Jigulina,Stereo Love,16,2011,1/1/11
Chrisette Michele,Aston Martin Music,30,2011,1/1/11
The Lonely Island,I Just Had Sex,30,2011,1/8/11
Waka Flocka Flame,No Hands,13,2011,1/22/11
DJ Frank E,Tonight (I'm Fuckin' You),4,2011,2/5/11
Jaden Smith,Never Say Never,8,2011,3/5/11
Thompson Square,Are You Gonna Kiss Me or Not,32,2011,4/2/11
Tinie Tempah and Eric Turner,Written in the Stars,12,2011,5/14/11
Steven Tyler,(It) Feels So Good,35,2011,5/28/11
Scotty McCreery,I Love You This Big,11,2011,6/11/11
Lauren Alaina,Like My Mother Does,20,2011,6/11/11
Afrojack,Give Me Everything,1,2011,7/9/11
Lauren Bennett and GoonRock,Party Rock Anthem,1,2011,7/16/11
Javier Colon,Stitch by Stitch,17,2011,7/16/11
Dia Frampton,Inventing Shadows,20,2011,7/16/11
Grace Potter,You and Tequila,33,2011,8/10/11
Foster the People,Pumped Up Kicks,3,2011,9/10/11
Sabi,You Make Me Feel...,7,2011,10/1/11
Alexandra Stan,Mr. Saxobeat,21,2011,10/29/11
Lily Allen,5 O'Clock,10,2011,12/24/11
The Civil Wars,Safe & Sound,30,2012,1/7/12
Detail,No Worries,29,2012,1/12/12
Breathe Carolina,Blackout,32,2012,2/4/12
Outasight,Tonight Is the Night,38,2012,2/11/12
Neon Hitch,Ass Back Home,12,2012,2/18/12
2Cellos,Smooth Criminal,26,2012,2/18/12
Janelle Monáe,We Are Young,1,2012,3/17/12
The Wanted,Glad You Came,3,2012,3/31/12
Gotye and Kimbra,Somebody That I Used to Know,1,2012,4/28/12
Kirko Bangz,Drank in My Cup,28,2012,5/19/12
Karmin,Brokenhearted,16,2012,6/9/12
Kip Moore,Somethin' 'Bout a Truck,29,2012,6/9/12
Cash Out,Cashin' Out,36,2012,7/7/12
Havana Brown,We Run the Night,26,2012,8/11/12
Love and Theft,Angel Eyes,32,2012,8/18/12
Gloriana,(Kissed You) Good Night,34,2012,8/18/12
Dustin Lynch,Cowboys and Angels,40,2012,10/6/12
Sammy Adams,Finally Found You,24,2012,10/13/12
Alex Clare,Too Close,7,2012,10/27/12
Frank Ocean,Thinkin Bout You,32,2012,12/22/12
The Lumineers,Ho Hey,3,2012,12/29/12
TJR,Don't Stop the Party,17,2013,1/19/13
Wanz,Thrift Shop,1,2013,2/2/13
Swedish House Mafia and John Martin,Don't You Worry Child,6,2013,2/9/13
ASAP Rocky,Fuckin' Problems,8,2013,2/16/13
Florence Welch,Sweet Nothing,10,2013,2/16/13
Of Monsters and Men,Little Talks,20,2013,2/16/13
Trinidad James,All Gold Everything,36,2013,2/16/13
Baauer,Harlem Shake,1,2013,3/2/13
Mikky Ekko,Stay,3,2013,3/2/13
Nate Ruess,Just Give Me a Reason,1,2013,4/27/13
Olly Murs,Troublemaker,25,2013,5/11/13
Ray Dalton,Can't Hold Us,1,2013,5/18/13
Icona Pop,I Love It,7,2013,5/18/13
Krewella,Alive,32,2013,5/18/13
Zach Sobiech,Clouds,26,2013,6/8/13
Mac Miller,The Way,9,2013,6/22/13
Tiara Thomas,Bad,21,2013,6/22/13
Daft Punk,Get Lucky,2,2013,6/29/13
Pistol Annies,Boys 'Round Here,13,2013,6/29/13
Mary Lambert,Same Love,11,2013,7/27/13
Rocko,U.O.E.N.O.,20,2013,8/3/13
The Finatticz,Don't Drop That Thun Thun,35,2013,8/3/13
Randy Houser,Runnin' Outta Moonlight,24,2013,8/10/13
Labrinth,Beneath Your Beautiful,34,2013,8/10/13
Anna Kendrick,Cups,6,2013,8/17/13
Foxes,Clarity,8,2013,8/17/13
Brett Eldredge,Don't Ya,30,2013,8/24/13
Capital Cities,Safe and Sound,8,2013,9/7/13
Iamsu!,Gas Pedal,29,2013,9/7/13
