Artist,Track,Peak Position,Year,Peak Date
Wink Martindale,Deck of Cards,7,1959,11/2/59
The Islanders,The Enchanted Sea,15,1959,11/16/59
Tommy Facenda,High School U.S.A. (Area),28,1959,11/16/59
The Rock-A-Teens,Woo Hoo,16,1959,11/23/59
The Revels,Midnight Stroll,35,1959,11/30/59
Ernie Fields,In the Mood,4,1959,12/14/59
Rocco Granata and the International Quintet,Marina,31,1959,12/21/59
The Nutty Squirrels,Uh! Oh! Part 2,14,1959,12/28/59
"Dancer, Prancer and Nervous",The Happy Reindeer,34,1959,12/28/59
Larry Hall,Sandy,15,1960,1/4/60
Hugo and Luigi,Just Come Home,35,1960,1/11/60
Rod Lauren,If I Had a Girl,31,1960,1/25/60
Mark Dinning,Teen Angel,1,1960,2/8/60
Spencer Ross,Tracy's Theme,13,1960,2/22/60
Ray Smith,Rockin' Little Angel,22,1960,2/22/60
Dorsey Burnette,(There Was a) Tall Oak Tree,23,1960,3/7/60
The Little Dippers,Forever,9,1960,3/28/60
Monty Kelly,Summer Set,30,1960,4/4/60
Barrett Strong,Money (That's What I Want),23,1960,4/18/60
Buster Brown,Fannie Mae,38,1960,5/2/60
Johnny Ferguson,Angela Jones,27,1960,5/2/60
Al Brown's Tunetoppers,The Madison,23,1960,5/16/60
Billy Bland,Let the Little Girl Dance,7,1960,5/16/60
The Temptations,Barbara,29,1960,5/16/60
Ray Bryant Trio,The Madison Time–Part 1,30,1960,5/16/60
Harold Dorman,Mountain of Love,21,1960,5/23/60
Jessie Hill,Ooh Poo Pah Doo–Part II,28,1960,5/23/60
Jeanne Black,He'll Have to Stay,4,1960,5/30/60
Ron Holden,Love You So,7,1960,6/13/60
Bobby Marchan,There's Something on Your Mind,31,1960,6/13/60
The Hollywood Argyles,Alley Oop,1,1960,7/11/60
Dante & the Evergreens,Alley Oop,15,1960,7/11/60
The Fendermen,Mule Skinner Blues,5,1960,7/11/60
Garry Mills,Look for a Star[5],26,1960,7/25/60
Deane Hawley,Look for a Star,34,1960,7/25/60
The Safaris,Image of a Girl,6,1960,8/1/60
Hank Locklin,"Please Help Me, I'm Falling",8,1960,8/1/60
Garry Miles,Look for a Star[8],16,1960,8/1/60
Johnny Bond,Hot Rod Lincoln,26,1960,8/8/60
The Demensions,Over the Rainbow,16,1960,9/5/60
Charlie Ryan and the Timberlane Riders,Hot Rod Lincoln,33,1960,9/5/60
The Ivy Three,Yogi,8,1960,9/19/60
Jimmy Charles,A Million to One,5,1960,9/26/60
Larry Verne,Mr. Custer,1,1960,10/10/60
Bob Luman,Let's Think About Living,7,1960,10/24/60
The Paradons,Diamonds and Pearls,18,1960,10/24/60
Joe Jones,You Talk Too Much,3,1960,11/14/60
Maurice Williams and the Zodiacs,Stay,1,1960,11/21/60
Tobin Mathews and Co.,Ruby Duby Du,30,1960,11/28/60
Etta Jones,Don't Go to Strangers,36,1960,12/12/60
Lolita,Sailor (Your Home Is the Sea),5,1960,12/19/60
The Shells,"Baby, Oh Baby",21,1961,1/16/61
Rosie and the Originals,Angel Baby,5,1961,1/23/61
H.B. Barnum,Lost Love,35,1961,2/6/61
The Ramrods,(Ghost) Riders in the Sky,30,1961,2/20/61
The Capris,There's a Moon Out Tonight,3,1961,2/27/61
Shelby Flint,Angel on My Shoulders,22,1961,2/27/61
Buzz Clifford,Baby Sittin' Boogie,6,1961,3/13/61
Jørgen Ingmann and his Guitar,Apache,2,1961,4/3/61
Rochell and the Candles,Once Upon a Time,26,1961,4/10/61
Freddy King,Hideaway,29,1961,4/10/61
Paul Dino,Ginnie Bell,38,1961,4/10/61
Kokomo,Asia Minor,8,1961,4/17/61
Cathy Jean and the Roommates,Please Love Me Forever,12,1961,4/24/61
Joe Barry,I'm a Fool to Care,24,1961,4/24/61
The Echoes,Baby Blue,12,1961,5/1/61
Ernie K-Doe,Mother-In-Law,1,1961,5/22/61
Shep and the Limelites,Daddy's Home,2,1961,5/29/61
Faron Young,Hello Walls,12,1961,5/29/61
Janie Grant,Triangle,29,1961,5/29/61
Eddie Harris,Exodus,36,1961,6/5/61
The Edsels,Rama Lama Ding Dong,21,1961,6/19/61
Donnie and the Dreamers,Count Every Star,35,1961,6/19/61
The Starlets,Better Tell Him No,38,1961,6/19/61
Little Caesar & the Romans,Those Oldies But Goodies (Remind Me of You),9,1961,6/26/61
Roy Drusky,Three Hearts in a Tangle,35,1961,6/26/61
The Cleftones,Heart and Soul,18,1961,7/3/61
Philip Upchurch Combo,"You Can't Sit Down, Part 2",29,1961,7/3/61
The Velvets,Tonight (Could Be the Night),26,1961,7/10/61
Adrian Kimberly,The Graduation Song...Pomp and Circumstance,34,1961,7/10/61
Arthur Lyman,Yellow Bird,4,1961,7/24/61
